Entry	Reviewed	Entry Name	Length	Pfam	PDB
A0A031K187	unreviewed	A0A031K187_9SPHN	159	PF08753;PF01402;	
A0A031K2I0	unreviewed	A0A031K2I0_9SPHN	176	PF08753;PF01402;	
A0A034T276	unreviewed	A0A034T276_9GAMM	147	PF08753;PF01402;	
A0A060B4R2	unreviewed	A0A060B4R2_9GAMM	133	PF08753;PF01402;	
A0A060NHA2	unreviewed	A0A060NHA2_9BURK	149	PF08753;PF01402;	
A0A060NMI8	unreviewed	A0A060NMI8_9BURK	141	PF08753;PF01402;	
A0A060PRX7	unreviewed	A0A060PRX7_HELPX	148	PF08753;PF01402;	
A0A062V5I7	unreviewed	A0A062V5I7_9EURY	140	PF08753;PF01402;	
A0A062VEC6	unreviewed	A0A062VEC6_9EURY	140	PF08753;PF01402;	
A0A064DBI1	unreviewed	A0A064DBI1_CITFR	133	PF08753;PF01402;	
A0A069PWT7	unreviewed	A0A069PWT7_9BURK	152	PF08753;PF01402;	
A0A069S5F6	unreviewed	A0A069S5F6_9BACT	133	PF08753;PF01402;	
A0A072T624	unreviewed	A0A072T624_9BURK	152	PF08753;PF01402;	
A0A074K536	unreviewed	A0A074K536_9PROT	159	PF08753;PF01402;	
A0A075LQD2	unreviewed	A0A075LQD2_9EURY	138	PF08753;PF01402;	
A0A075WEU7	unreviewed	A0A075WEU7_ARCFL	138	PF08753;PF01402;	
A0A075WU26	unreviewed	A0A075WU26_9BACT	140	PF08753;PF01402;	
A0A076FG87	unreviewed	A0A076FG87_9PROT	140	PF08753;PF01402;	
A0A076LE34	unreviewed	A0A076LE34_9EURY	141	PF08753;PF01402;	
A0A076LKP7	unreviewed	A0A076LKP7_9GAMM	148	PF08753;PF01402;	
A0A078LLV4	unreviewed	A0A078LLV4_CITKO	133	PF08753;PF01402;	
A0A080IJ23	unreviewed	A0A080IJ23_ECOLX	133	PF08753;PF01402;	
A0A081C5M4	unreviewed	A0A081C5M4_9BACT	157	PF08753;PF01402;	
A0A081ESR3	unreviewed	A0A081ESR3_9EURY	161	PF08753;PF01402;	
A0A081EW37	unreviewed	A0A081EW37_9EURY	138	PF08753;PF01402;	
A0A081J5T2	unreviewed	A0A081J5T2_9BURK	152	PF08753;PF01402;	
A0A081P9T9	unreviewed	A0A081P9T9_9BACL	154	PF08753;PF01402;	
A0A083YGJ9	unreviewed	A0A083YGJ9_HELPX	148	PF08753;PF01402;	
A0A085A2L8	unreviewed	A0A085A2L8_9ENTR	135	PF08753;PF01402;	
A0A085DXP9	unreviewed	A0A085DXP9_9GAMM	133	PF08753;PF01402;	
A0A085HK97	unreviewed	A0A085HK97_9GAMM	160	PF08753;PF01402;	
A0A086RQF2	unreviewed	A0A086RQF2_HELPX	148	PF08753;PF01402;	
A0A086Y4Y7	unreviewed	A0A086Y4Y7_9RHOB	164	PF08753;PF01402;	
A0A087MEL3	unreviewed	A0A087MEL3_9PROT	137	PF08753;PF01402;	
A0A089PQP7	unreviewed	A0A089PQP7_PLUGE	136	PF08753;PF01402;	
A0A089ZH59	unreviewed	A0A089ZH59_METFO	134	PF08753;PF01402;	
A0A090D881	unreviewed	A0A090D881_9BACT	140	PF08753;PF01402;	
A0A090I558	unreviewed	A0A090I558_METFO	130	PF08753;PF01402;	
A0A090I5I6	unreviewed	A0A090I5I6_METFO	135	PF08753;PF01402;	
A0A090NHH3	unreviewed	A0A090NHH3_SHIDY	133	PF08753;PF01402;	
A0A091FFJ9	unreviewed	A0A091FFJ9_9DELT	138	PF08753;PF01402;	
A0A094JEY9	unreviewed	A0A094JEY9_9GAMM	137	PF08753;PF01402;	
A0A094KJW6	unreviewed	A0A094KJW6_9DELT	138	PF08753;PF01402;	
A0A096LM04	unreviewed	A0A096LM04_9ACTN	170	PF08753;PF01402;	
A0A097ATD8	unreviewed	A0A097ATD8_THEKI	141	PF08753;PF01402;	
A0A097QTN8	unreviewed	A0A097QTN8_9EURY	138	PF08753;PF01402;	
A0A097QY91	unreviewed	A0A097QY91_HAFAL	153	PF08753;PF01402;	
A0A099T243	unreviewed	A0A099T243_METMT	140	PF08753;PF01402;	
A0A099TWS4	unreviewed	A0A099TWS4_9HELI	142	PF08753;PF01402;	
A0A099UIS5	unreviewed	A0A099UIS5_9HELI	143	PF08753;PF01402;	
A0A0A0DW76	unreviewed	A0A0A0DW76_9BURK	153	PF08753;PF01402;	
A0A0A0FGH5	unreviewed	A0A0A0FGH5_ECOLX	133	PF08753;PF01402;	
A0A0A1PHV4	unreviewed	A0A0A1PHV4_9BACT	150	PF08753;PF01402;	
A0A0A1VMS9	unreviewed	A0A0A1VMS9_9BURK	164	PF08753;PF01402;	
A0A0A2HSG1	unreviewed	A0A0A2HSG1_9DELT	136	PF08753;PF01402;	
A0A0A3XTJ4	unreviewed	A0A0A3XTJ4_BRAJP	148	PF08753;PF01402;	
A0A0A7GJ35	unreviewed	A0A0A7GJ35_GEOAI	137	PF08753;PF01402;	
A0A0A7LDA2	unreviewed	A0A0A7LDA2_9ARCH	146	PF08753;PF01402;	
A0A0A8B3Q7	unreviewed	A0A0A8B3Q7_9ACTN	142	PF08753;PF01402;	
A0A0A8FLY3	unreviewed	A0A0A8FLY3_9GAMM	138	PF08753;PF01402;	
A0A0A8WQ39	unreviewed	A0A0A8WQ39_9DELT	139	PF08753;PF01402;	
A0A0B0EKH0	unreviewed	A0A0B0EKH0_9BACT	139	PF08753;PF01402;	
A0A0B0Q363	unreviewed	A0A0B0Q363_9PROT	137	PF08753;PF01402;	
A0A0B1Q2S0	unreviewed	A0A0B1Q2S0_9HYPH	141	PF08753;PF01402;	
A0A0B1TXP6	unreviewed	A0A0B1TXP6_9DELT	139	PF08753;PF01402;	
A0A0B2DTK1	unreviewed	A0A0B2DTK1_HELPX	148	PF08753;PF01402;	
A0A0B2DWJ6	unreviewed	A0A0B2DWJ6_HELPX	148	PF08753;PF01402;	
A0A0B2E8D6	unreviewed	A0A0B2E8D6_HELPX	148	PF08753;PF01402;	
A0A0B2ECS8	unreviewed	A0A0B2ECS8_HELPX	148	PF08753;PF01402;	
A0A0B2EI14	unreviewed	A0A0B2EI14_HELPX	148	PF08753;PF01402;	
A0A0B2EMG6	unreviewed	A0A0B2EMG6_HELPX	148	PF08753;PF01402;	
A0A0B2ERL3	unreviewed	A0A0B2ERL3_HELPX	148	PF08753;PF01402;	
A0A0B2EV66	unreviewed	A0A0B2EV66_HELPX	148	PF08753;PF01402;	
A0A0B2EVH5	unreviewed	A0A0B2EVH5_HELPX	148	PF08753;PF01402;	
A0A0B3BKW1	unreviewed	A0A0B3BKW1_9THEO	138	PF08753;PF01402;	
A0A0B4XUJ6	unreviewed	A0A0B4XUJ6_9PROT	159	PF08753;PF01402;	
A0A0B5BD08	unreviewed	A0A0B5BD08_9DELT	139	PF08753;PF01402;	
A0A0B5FEG9	unreviewed	A0A0B5FEG9_9DELT	139	PF08753;PF01402;	
A0A0B5GRU1	unreviewed	A0A0B5GRU1_9EURY	139	PF08753;PF01402;	
A0A0B5GUX2	unreviewed	A0A0B5GUX2_9EURY	136	PF08753;PF01402;	
A0A0B6X095	unreviewed	A0A0B6X095_9BACT	145	PF08753;PF01402;	
A0A0B7J1X5	unreviewed	A0A0B7J1X5_9PROT	154	PF08753;PF01402;	
A0A0C1QR85	unreviewed	A0A0C1QR85_9DELT	139	PF08753;PF01402;	
A0A0C1RL01	unreviewed	A0A0C1RL01_9DELT	138	PF08753;PF01402;	
A0A0C2ECI8	unreviewed	A0A0C2ECI8_9DELT	139	PF08753;PF01402;	
A0A0C2UU93	unreviewed	A0A0C2UU93_9BACL	165	PF08753;PF01402;	
A0A0C3DWX8	unreviewed	A0A0C3DWX8_9GAMM	133	PF08753;PF01402;	
A0A0C3MMJ1	unreviewed	A0A0C3MMJ1_9PROT	153	PF08753;PF01402;	
A0A0C3NRG7	unreviewed	A0A0C3NRG7_9PROT	153	PF08753;PF01402;	
A0A0C5RW46	unreviewed	A0A0C5RW46_PSEPU	141	PF08753;PF01402;	
A0A0C5X2Z3	unreviewed	A0A0C5X2Z3_SPHYB	158	PF08753;PF01402;	
A0A0C6FKP8	unreviewed	A0A0C6FKP8_9HYPH	153	PF08753;PF01402;	
A0A0C9Q886	unreviewed	A0A0C9Q886_9BACT	138	PF08753;PF01402;	
A0A0D1MPB0	unreviewed	A0A0D1MPB0_BRAEL	147	PF08753;PF01402;	
A0A0D5CJC6	unreviewed	A0A0D5CJC6_9MICO	252	PF01402;PF00075;	
A0A0D5M5S6	unreviewed	A0A0D5M5S6_9GAMM	133	PF08753;PF01402;	
A0A0D5N5U8	unreviewed	A0A0D5N5U8_GEOSN	139	PF08753;PF01402;	
A0A0D6B495	unreviewed	A0A0D6B495_RHOSU	154	PF08753;PF01402;	
A0A0D6ECK4	unreviewed	A0A0D6ECK4_9GAMM	133	PF08753;PF01402;	
A0A0D6JTP7	unreviewed	A0A0D6JTP7_9EURY	141	PF08753;PF01402;	
A0A0D6KWL7	unreviewed	A0A0D6KWL7_9CYAN	1633	PF01590;PF02518;PF00512;PF08447;PF08448;PF13426;PF00072;PF01402;	
A0A0D6PHM0	unreviewed	A0A0D6PHM0_9PROT	150	PF08753;PF01402;	
A0A0D6QN17	unreviewed	A0A0D6QN17_9DELT	139	PF08753;PF01402;	
A0A0D7EW42	unreviewed	A0A0D7EW42_RHOPL	149	PF08753;PF01402;	
A0A0D7LRN0	unreviewed	A0A0D7LRN0_CITFR	133	PF08753;PF01402;	
A0A0D7NV48	unreviewed	A0A0D7NV48_9BRAD	148	PF08753;PF01402;	
A0A0D7QH51	unreviewed	A0A0D7QH51_9BRAD	175	PF08753;PF01402;	
A0A0D7V1S0	unreviewed	A0A0D7V1S0_9GAMM	140	PF08753;PF01402;	
A0A0D8CFY8	unreviewed	A0A0D8CFY8_9PROT	159	PF08753;PF01402;	
A0A0D8JAU6	unreviewed	A0A0D8JAU6_9BACT	133	PF08753;PF01402;	
A0A0E0WF21	unreviewed	A0A0E0WF21_HELPX	148	PF08753;PF01402;	
A0A0E0XUF5	unreviewed	A0A0E0XUF5_ECO1C	133	PF08753;PF01402;	
A0A0E1C701	unreviewed	A0A0E1C701_KLEPN	132	PF08753;PF01402;	
A0A0E1GI80	unreviewed	A0A0E1GI80_CAMFE	140	PF08753;PF01402;	
A0A0E1M4H5	unreviewed	A0A0E1M4H5_ECOLX	133	PF08753;PF01402;	
A0A0E1SY23	unreviewed	A0A0E1SY23_ECOLX	133	PF08753;PF01402;	
A0A0E1X6E7	unreviewed	A0A0E1X6E7_9HYPH	132	PF08753;PF01402;	
A0A0E2L072	unreviewed	A0A0E2L072_ECOU3	133	PF08753;PF01402;	
A0A0E3H8Z7	unreviewed	A0A0E3H8Z7_METTT	135	PF08753;PF01402;	
A0A0E3K9A3	unreviewed	A0A0E3K9A3_SACSO	133	PF08753;PF01402;	
A0A0E3L1B3	unreviewed	A0A0E3L1B3_METTE	135	PF08753;PF01402;	
A0A0E3L3L6	unreviewed	A0A0E3L3L6_9EURY	140	PF08753;PF01402;	
A0A0E3L4W3	unreviewed	A0A0E3L4W3_9EURY	140	PF08753;PF01402;	
A0A0E3L5W5	unreviewed	A0A0E3L5W5_9EURY	140	PF08753;PF01402;	
A0A0E3LD34	unreviewed	A0A0E3LD34_9EURY	140	PF08753;PF01402;	
A0A0E3LP84	unreviewed	A0A0E3LP84_METBA	140	PF08753;PF01402;	
A0A0E3LVN3	unreviewed	A0A0E3LVN3_METMZ	146	PF08753;PF01402;	
A0A0E3N7C1	unreviewed	A0A0E3N7C1_METTT	143	PF08753;PF01402;	
A0A0E3NFF7	unreviewed	A0A0E3NFF7_METTE	143	PF08753;PF01402;	
A0A0E3NJ89	unreviewed	A0A0E3NJ89_9EURY	151	PF08753;PF01402;	
A0A0E3NKX9	unreviewed	A0A0E3NKX9_9EURY	140	PF08753;PF01402;	
A0A0E3NPM2	unreviewed	A0A0E3NPM2_9EURY	140	PF08753;PF01402;	
A0A0E3NQ78	unreviewed	A0A0E3NQ78_9EURY	151	PF08753;PF01402;	
A0A0E3NXC4	unreviewed	A0A0E3NXC4_9EURY	139	PF08753;PF01402;	
A0A0E3P2M3	unreviewed	A0A0E3P2M3_9EURY	140	PF08753;PF01402;	
A0A0E3P4F6	unreviewed	A0A0E3P4F6_9EURY	140	PF08753;PF01402;	
A0A0E3P5Y0	unreviewed	A0A0E3P5Y0_9EURY	140	PF08753;PF01402;	
A0A0E3P8R8	unreviewed	A0A0E3P8R8_9EURY	140	PF08753;PF01402;	
A0A0E3PBG1	unreviewed	A0A0E3PBG1_9EURY	140	PF08753;PF01402;	
A0A0E3PCT8	unreviewed	A0A0E3PCT8_9EURY	140	PF08753;PF01402;	
A0A0E3PFA0	unreviewed	A0A0E3PFA0_9EURY	140	PF08753;PF01402;	
A0A0E3PI39	unreviewed	A0A0E3PI39_9EURY	140	PF08753;PF01402;	
A0A0E3PL87	unreviewed	A0A0E3PL87_9EURY	140	PF08753;PF01402;	
A0A0E3PM41	unreviewed	A0A0E3PM41_9EURY	140	PF08753;PF01402;	
A0A0E3PT29	unreviewed	A0A0E3PT29_9EURY	140	PF08753;PF01402;	
A0A0E3PV17	unreviewed	A0A0E3PV17_METMZ	140	PF08753;PF01402;	
A0A0E3PVW0	unreviewed	A0A0E3PVW0_METMZ	146	PF08753;PF01402;	
A0A0E3PZK6	unreviewed	A0A0E3PZK6_METMZ	140	PF08753;PF01402;	
A0A0E3Q3G8	unreviewed	A0A0E3Q3G8_9EURY	139	PF08753;PF01402;	
A0A0E3Q5H7	unreviewed	A0A0E3Q5H7_9EURY	141	PF08753;PF01402;	
A0A0E3Q8I2	unreviewed	A0A0E3Q8I2_9EURY	140	PF08753;PF01402;	
A0A0E3QBM2	unreviewed	A0A0E3QBM2_9EURY	141	PF08753;PF01402;	
A0A0E3QCZ5	unreviewed	A0A0E3QCZ5_9EURY	139	PF08753;PF01402;	
A0A0E3QHD6	unreviewed	A0A0E3QHD6_9EURY	140	PF08753;PF01402;	
A0A0E3QIW3	unreviewed	A0A0E3QIW3_METBA	140	PF08753;PF01402;	
A0A0E3QN74	unreviewed	A0A0E3QN74_METBA	138	PF08753;PF01402;	
A0A0E3QNT2	unreviewed	A0A0E3QNT2_METBA	141	PF08753;PF01402;	
A0A0E3QWI1	unreviewed	A0A0E3QWI1_METBA	139	PF08753;PF01402;	
A0A0E3QYX5	unreviewed	A0A0E3QYX5_METBA	141	PF08753;PF01402;	
A0A0E3R0D4	unreviewed	A0A0E3R0D4_METBA	139	PF08753;PF01402;	
A0A0E3R4M5	unreviewed	A0A0E3R4M5_METBA	140	PF08753;PF01402;	
A0A0E3R9I1	unreviewed	A0A0E3R9I1_METMZ	140	PF08753;PF01402;	
A0A0E3R9R4	unreviewed	A0A0E3R9R4_METMZ	146	PF08753;PF01402;	
A0A0E3RCS2	unreviewed	A0A0E3RCS2_METMZ	140	PF08753;PF01402;	
A0A0E3RFU8	unreviewed	A0A0E3RFU8_METMZ	140	PF08753;PF01402;	
A0A0E3RH06	unreviewed	A0A0E3RH06_METMZ	140	PF08753;PF01402;	
A0A0E3RI33	unreviewed	A0A0E3RI33_METMZ	146	PF08753;PF01402;	
A0A0E3RLY8	unreviewed	A0A0E3RLY8_METMZ	140	PF08753;PF01402;	
A0A0E3RS13	unreviewed	A0A0E3RS13_METMZ	146	PF08753;PF01402;	
A0A0E3RSH0	unreviewed	A0A0E3RSH0_METMZ	140	PF08753;PF01402;	
A0A0E3RT32	unreviewed	A0A0E3RT32_METMZ	140	PF08753;PF01402;	
A0A0E3RVU7	unreviewed	A0A0E3RVU7_METMZ	140	PF08753;PF01402;	
A0A0E3S4J4	unreviewed	A0A0E3S4J4_9EURY	140	PF08753;PF01402;	
A0A0E3S552	unreviewed	A0A0E3S552_9EURY	140	PF08753;PF01402;	
A0A0E3SEN4	unreviewed	A0A0E3SEN4_9EURY	140	PF08753;PF01402;	
A0A0E3SF11	unreviewed	A0A0E3SF11_METBA	133	PF08753;PF01402;	
A0A0E3SFT0	unreviewed	A0A0E3SFT0_9EURY	140	PF08753;PF01402;	
A0A0E3SGE3	unreviewed	A0A0E3SGE3_9EURY	174	PF08753;PF01402;	
A0A0E3SJT8	unreviewed	A0A0E3SJT8_METBA	141	PF08753;PF01402;	
A0A0E3UHB6	unreviewed	A0A0E3UHB6_9BACT	146	PF08753;PF01402;	
A0A0E3WU04	unreviewed	A0A0E3WU04_9EURY	140	PF08753;PF01402;	
A0A0E3WZ10	unreviewed	A0A0E3WZ10_METMT	140	PF08753;PF01402;	
A0A0E3WZP1	unreviewed	A0A0E3WZP1_METBA	140	PF08753;PF01402;	
A0A0E9M308	unreviewed	A0A0E9M308_9BACT	133	PF08753;PF01402;	
A0A0E9MAZ6	unreviewed	A0A0E9MAZ6_9PROT	159	PF08753;PF01402;	
A0A0F0CRT6	unreviewed	A0A0F0CRT6_9BACT	138	PF08753;PF01402;	
A0A0F2KZR3	unreviewed	A0A0F2KZR3_9PROT	159	PF08753;PF01402;	
A0A0F2NM09	unreviewed	A0A0F2NM09_9DELT	136	PF08753;PF01402;	
A0A0F3IN33	unreviewed	A0A0F3IN33_9GAMM	150	PF08753;PF01402;	
A0A0F3KBP8	unreviewed	A0A0F3KBP8_9NEIS	148	PF08753;PF01402;	
A0A0F5FL68	unreviewed	A0A0F5FL68_9HYPH	150	PF08753;PF01402;	
A0A0F5IZS8	unreviewed	A0A0F5IZS8_9BACT	133	PF08753;PF01402;	
A0A0F5J781	unreviewed	A0A0F5J781_9BACT	133	PF08753;PF01402;	
A0A0F5JSJ1	unreviewed	A0A0F5JSJ1_9BACT	133	PF08753;PF01402;	
A0A0F5PPS0	unreviewed	A0A0F5PPS0_9THEO	154	PF08753;PF01402;	
A0A0F5PX84	unreviewed	A0A0F5PX84_9HYPH	148	PF08753;PF01402;	
A0A0F6B852	unreviewed	A0A0F6B852_SALT1	133	PF08753;PF01402;	
A0A0F6TXG9	unreviewed	A0A0F6TXG9_CITAM	133	PF08753;PF01402;	
A0A0F7IEF4	unreviewed	A0A0F7IEF4_9EURY	137	PF08753;PF01402;	
A0A0F7JCS7	unreviewed	A0A0F7JCS7_SALTM	145	PF08753;PF01402;	
A0A0F7JRS8	unreviewed	A0A0F7JRS8_9GAMM	155	PF08753;PF01402;	
A0A0F7P9U6	unreviewed	A0A0F7P9U6_9EURY	152	PF08753;PF01402;	
A0A0F8C2E4	unreviewed	A0A0F8C2E4_9EURY	155	PF08753;PF01402;	
A0A0F8C5W4	unreviewed	A0A0F8C5W4_9EURY	140	PF08753;PF01402;	
A0A0F8CI49	unreviewed	A0A0F8CI49_9EURY	140	PF08753;PF01402;	
A0A0F8CP87	unreviewed	A0A0F8CP87_9EURY	140	PF08753;PF01402;	
A0A0F8CX43	unreviewed	A0A0F8CX43_9EURY	140	PF08753;PF01402;	
A0A0F8CZE0	unreviewed	A0A0F8CZE0_9EURY	152	PF08753;PF01402;	
A0A0F8DBQ7	unreviewed	A0A0F8DBQ7_9EURY	152	PF08753;PF01402;	
A0A0F8DWE8	unreviewed	A0A0F8DWE8_9EURY	140	PF08753;PF01402;	
A0A0F8EHB0	unreviewed	A0A0F8EHB0_9EURY	140	PF08753;PF01402;	
A0A0F8EJL5	unreviewed	A0A0F8EJL5_9EURY	140	PF08753;PF01402;	
A0A0F8EML4	unreviewed	A0A0F8EML4_9EURY	140	PF08753;PF01402;	
A0A0F8ENS4	unreviewed	A0A0F8ENS4_9EURY	152	PF08753;PF01402;	
A0A0F8EY74	unreviewed	A0A0F8EY74_9EURY	140	PF08753;PF01402;	
A0A0F8FPS6	unreviewed	A0A0F8FPS6_9EURY	152	PF08753;PF01402;	
A0A0F8G4B8	unreviewed	A0A0F8G4B8_9EURY	140	PF08753;PF01402;	
A0A0F8IKY5	unreviewed	A0A0F8IKY5_METMZ	140	PF08753;PF01402;	
A0A0F8K8P9	unreviewed	A0A0F8K8P9_METMZ	146	PF08753;PF01402;	
A0A0F8N918	unreviewed	A0A0F8N918_METMZ	140	PF08753;PF01402;	
A0A0F8NAH7	unreviewed	A0A0F8NAH7_9EURY	140	PF08753;PF01402;	
A0A0F8NEB0	unreviewed	A0A0F8NEB0_9EURY	140	PF08753;PF01402;	
A0A0F8NGJ4	unreviewed	A0A0F8NGJ4_9EURY	152	PF08753;PF01402;	
A0A0F8NV77	unreviewed	A0A0F8NV77_METMZ	146	PF08753;PF01402;	
A0A0F8S7C2	unreviewed	A0A0F8S7C2_9EURY	140	PF08753;PF01402;	
A0A0F8SZR7	unreviewed	A0A0F8SZR7_9EURY	140	PF08753;PF01402;	
A0A0F8SZV0	unreviewed	A0A0F8SZV0_9EURY	152	PF08753;PF01402;	
A0A0F9WD21	unreviewed	A0A0F9WD21_9ZZZZ	133	PF08753;PF01402;	
A0A0G3CCW6	unreviewed	A0A0G3CCW6_METBA	141	PF08753;PF01402;	
A0A0G3CDY1	unreviewed	A0A0G3CDY1_METBA	139	PF08753;PF01402;	
A0A0G3CHM4	unreviewed	A0A0G3CHM4_METBA	135	PF08753;PF01402;	
A0A0G3QFV7	unreviewed	A0A0G3QFV7_9ENTR	149	PF08753;PF01402;	
A0A0G3S628	unreviewed	A0A0G3S628_KLEOX	138	PF08753;PF01402;	
A0A0G4JUC9	unreviewed	A0A0G4JUC9_9GAMM	125	PF08753;PF01402;	
